client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
23155b3c9b54685ab85e13f624e6e07bd88f4280ce08d3e2cac43dc044c9aa8ca68d9cf70689d485319e8d91a60b6d25089f57ffb8156d07bff67d67f1a0a8e9	common_voice_ja_32248839.mp3	第三に常識は有機的な知識として社会における均衡の状態に相応するものであった。	6	0	twenties	female	United States English,Non-native	ja	
23155b3c9b54685ab85e13f624e6e07bd88f4280ce08d3e2cac43dc044c9aa8ca68d9cf70689d485319e8d91a60b6d25089f57ffb8156d07bff67d67f1a0a8e9	common_voice_ja_32248840.mp3	そこにはどこまでもミトス的に我々を抑圧するものを否定し行かねばならない。	6	3	twenties	female	United States English,Non-native	ja	
3f4acad2c6cd95313790b5a53e74a0469254e1c0f5378a8f2622d21a01494b5ebf4e47e621f3ed8b54d0fc582a7503b747df104e6fbe8f6bed302afd5ea37121	common_voice_ja_32423402.mp3	今日はスライダーのキレがいいな	2	1				ja	
3f4acad2c6cd95313790b5a53e74a0469254e1c0f5378a8f2622d21a01494b5ebf4e47e621f3ed8b54d0fc582a7503b747df104e6fbe8f6bed302afd5ea37121	common_voice_ja_32423406.mp3	全く知りません。	2	0				ja	
b6f95d9fd6665d5c9da7108a3cc53fee9a25deaf0419824ee89bb3a97bfb33fc63d4052c3b5b6e5a029c274746ea30ea6bd81ed491926e7ed51eb265e9173bf1	common_voice_ja_32091496.mp3	歴史的生命とは矛盾的自己同一的現在の自己形成としてイデヤ的であるのである。	2	0				ja	
b6f95d9fd6665d5c9da7108a3cc53fee9a25deaf0419824ee89bb3a97bfb33fc63d4052c3b5b6e5a029c274746ea30ea6bd81ed491926e7ed51eb265e9173bf1	common_voice_ja_32091512.mp3	世界が絶対過去としてどこまでも直観的に、我々の個人的自己をその生命の根底から奪うということは、	2	0				ja	
ed29f793ce4dcee31ff4efdded9289ef2eda72a0a4ed3c30a3473513db5ecc6860cd66c1dfabb4ce2332e0fb3e9724da261fc0df5f023bfbfdb0acf79215558d	common_voice_ja_32717763.mp3	気を抜かないように。	2	0	twenties	male		ja	
ed29f793ce4dcee31ff4efdded9289ef2eda72a0a4ed3c30a3473513db5ecc6860cd66c1dfabb4ce2332e0fb3e9724da261fc0df5f023bfbfdb0acf79215558d	common_voice_ja_32717764.mp3	今回のバージョンアップはいい感じ	2	0	twenties	male		ja	
5b2996c5b1211c165d437b532aedeb142b2c5c5410924e181965a149a696a71cc3b0fa6d26f02e8fe0dced4d0ab042a7b858dbefcd676fb133f905682f4145af	common_voice_ja_32642419.mp3	技術というと直ちに物質的生産の技術を考えることは、世界というと直ちに自然界を考えることと同様、	2	0				ja	
5b2996c5b1211c165d437b532aedeb142b2c5c5410924e181965a149a696a71cc3b0fa6d26f02e8fe0dced4d0ab042a7b858dbefcd676fb133f905682f4145af	common_voice_ja_32642425.mp3	我々はこの世界においてある物を形成すべく課せられているのである。	2	0				ja	
